Number,segid,Name,State,Latitude,Longitude
1,18002878,Williamson below Sprague,OR,42.56,-121.84
2,18000055,Klamath below Iron Gate Dam,CA,41.93,-122.44
3,18000510,Klamath below Seiad Valley,CA,41.85,-123.23
4,18000519,Klamath at Orleans,CA,41.3,-123.53
5,18000492,Klamath near Klamath,CA,41.51,-123.98
6,17004364,Snake at Brownlee Dam,ID,44.84,-116.9
7,17000466,Columbia at Grand Coulee,WA,47.97,-118.98
8,17005424,Columbia at the Dalles,OR,45.61,-121.17
9,17000589,Yakima at Parker,WA,46.51,-120.45
10,17002261,Deschutes near Madras,OR,44.73,-121.25
11,17005316,Snake near Heise,ID,43.61,-111.66
12,17004977,Flathead at Columbia Falls,MT,48.36,-114.18
13,15001191,Colorado at Lees Ferry,AZ,36.86,-111.59
14,15001451,Colorado above Imperial Dam,CA,32.88,-114.47
15,14001297,Green near Greendale,UT,40.91,-109.42
16,14000645,Colorado near Cameo,CO,39.24,-108.27
17,14000737,Gunnison near Grand Junction,CO,38.98,-108.46
18,14000445,San Juan near Bluff,UT,37.15,-109.86
