seg_id2,STAID,HUC02,STATE,DRAIN_SQKM,LAT_GAGE,LNG_GAGE,STANAME
1001367,1169000,1,MA,231,42.638418,-72.725092,NORTH RIVER AT SHATTUCKVILLE MA
2001874,2017500,2,VA,276,37.50624,-80.106715,JOHNS CREEK AT NEW CASTLE VA
3001379,2059500,3,VA,485,37.1732,-79.520308,GOOSE CREEK NEAR HUDDLESTON VA
4001071,4127997,4,MI,487,45.274457,-84.600031,STURGEON RIVER AT WOLVERINE MI
5000683,3070500,5,WV,517,39.615638,-79.704774,BIG SANDY CREEK AT ROCKVILLE WV
6000914,3488000,6,VA,578,36.896781,-81.746229,N F HOLSTON RIVER NEAR SALTVILLE VA
7001251,5489000,7,IA,965,41.219002,-92.908533,Cedar Creek near Bussey IA
8001331,7291000,8,MS,479,31.503056,-90.7775,HOMOCHITTO RIVER AT EDDICETON MS
9000593,5120500,9,ND,1510,48.138337,-100.539862,WINTERING RIVER NR KARLSRUHE ND
10100732,6311000,10U,WY,61,44.027742,-107.080895,NORTH FORK POWDER RIVER NEAR HAZELTON WY
11001407,7066000,11,MO,1053,37.154081,-91.358161,Jacks Fork at Eminence MO
12000983,8070000,12,TX,841,30.336598,-95.1041,E Fk San Jacinto Rv nr Cleveland TX
13000819,8378500,13,NM,445,35.708366,-105.682517,PECOS RIVER NEAR PECOS NM
14001858,9210500,14,WY,398,42.096053,-110.416556,"FONTENELLE C NR HERSCHLER RANCH, NR FONTENELLE WY"
15000031,9430500,15,NM,4805,33.061179,-108.537275,GILA RIVER NEAR GILA NM
16000090,10234500,16,UT,236,38.280526,-112.568271,BEAVER RIVER NEAR BEAVER UT
17002830,12025000,17,WA,405,46.620104,-122.945126,NEWAUKUM RIVER NEAR CHEHALIS WA
18001955,11124500,18,CA,192,34.596656,-119.908752,SANTA CRUZ C NR SANTA YNEZ CA
